Name,urlwebsite,keywords,Description_French,Description,Description_cleaned
medeo,https://www.medeo-health.com/,digital / e-santé / objets connectés / santé,Simplifier le quotidien des professionnels de santé à l’aide de la télémédecine et de dispositifs médicaux connectés.,Simplifying the lives of health professionals using telemedicine and connected medical devices.,simplifi live health profession use telemedicin connect medic devic
co-cto,https://www.co-cto.fr/,Accompagnement / application / Application eCommerce / Application mobile / technologie,CO-CTO met au service des startups et PME des CTO expérimentés à temps partagé.,CO-CTO at the service experienced startups and SMEs CTO timeshare.,co-cto servic experienc startup sme cto timeshar
curvway,http://curvway.com,mobilité / SportTech,Conception de planches électriques qui permettent de retrouver les sensations du snowboard sur route (urbain et tout terrain),Design of electrical boards that allow to recall the feeling of snowboarding road (urban and off road),design electr board allow recal feel snowboard road urban road
ecosiag,http://www.ecosiag.com,B2B / Bpifrance / Alimentation saine et durable / agriculture raisonnée / Efficience énergétique / made in france,Développement de fermes urbaines aquaponiques automatisées,Development of automated aquaponic urban farms,develop autom aquapon urban farm
mylabel,https://www.mylabel.io/,,L'appli qui vous permet de consommer selon vos valeurs,The app allows you to eat according to your values,app allow eat accord valu
freelance-stackio,https://www.freelance-stack.io,Boîte à outils startup / Developer Tools (outil pour développeurs) / freelance / markettools / startups,"Freelance-Stack.io : outils & solutions pour freelances et indépendants (consultants, startup, Tpe/Pme) ","Freelance-Stack.io: tools & solutions for freelancers and independent (consultants, startup, Tpe / SME)",freelance-stack.io tool solut freelanc independ consult startup tpe sme
praxis-web,https://praxisweb.fr,Accompagnement / creation de siteweb / référencement local,"Création et refonte de sites internet pour tout public (artisan, TPE/PME, collectivités...) / AMOA de vos projets web : analyse, conseils, amélioration de l'existant, maintenance  ","Creation and redesign websites for all public (craftsman, SOHO / SME, authorities ...) / Business Analysis for your web projects: analysis, advice, improvement of the existing, Maintenance",creation redesign websit public craftsman soho sme author ... busi analysi web project analysi advic improv exist mainten
ryax-technologies,https://ryax.tech/,big data / BtoB / logiciel / SaaS,"Ryax est une plateforme de Data Engineering qui aide vos équipes Data à déployer, exécuter et mettre à l'échelle leur modèles de Data Science en production. ","Ryax is a platform that helps your Data Engineering Data teams to deploy, run, and to scale their Data Science models in production.",ryax platform help data engin data team deploy run scale data scienc model product
angusta,https://www.per-angusta.com/fr/,Achat / SaaS,Solution Agile de pilotage des équipes et de la Performance Achats,Steering Solution Agile teams and Purchasing Performance,steer solut agil team purchas perform
optimiz-construction,http://www.optimiz-construction.fr,Construction durable / construction / optimisation,Optimiz Construction est une solution d’optimisation des découpes d'acier sur chantier.,Optimiz Construction is a cut optimization solution steel on site.,optimiz construct cut optim solut steel site
blueway,https://www.blueway.fr/,,"Editeur de logiciels BPM, MDB, ESB et API intégrés ","BPM Software publisher, MDB, BSE and integrated API",bpm softwar publish mdb bse integr api
sequoia-factory,https://sequoia-factory.com,E-commerce,SEQUOIA-FACTORY.COM LA PREMIERE PLATEFORME DE MATÉRIEL DE COMMUNICATION POUR POINT DE VETE 100% ÉCO RESPONSABLE.,SEQUOIA-FACTORY.COM FIRST COMMUNICATIONS EQUIPMENT PLATFORM FOR POINT VETE 100% ECO RESPONSIBLE.,sequoia-factory.com first commun equip platform point vete 100 eco respons
speakingkong-0,http://www.speakingkong.com,langue,"Pratiquez une langue étrangère immédiatement, sans rendez-vous, avec un vaste réseau de natifs ","Practice a foreign language immediately without appointments, with an extensive network of native",practic foreign languag immedi without appoint extens network nativ
m2,http://www.mcarre.fr,Infrastructure / Réseau / services informatiques / support,Mcarré lutte contre l'obsolescence programmée des ordinateurs en doublant leur durée de vie pour les particuliers et les professionnels.,Mcarré fight against planned obsolescence of computers doubling their life for individuals and professionals.,mcarré fight plan obsolesc comput doubl life individu profession
deligume-0,https://deligume.com,Achat,Livraison à domicile de produits frais des producteurs de la région,home delivery of fresh food producers in the region,home deliveri fresh food produc region
swwitch,http://www.swwitch.eu,,Swwitch est la première plateforme d'échange de logements pour les étudiants en mobilité internationale,Swwitch is the first platform of exchange of housing for international students,swwitch first platform exchang hous intern student
watcha-0,https://watcha.fr/web/,BtoB / collaboratif / cybersecurité / digital / Innovation Digitale / messagerie instantané / open source / SaaS / services informatiques / startups,Watcha® est une « secure digitale workplace » : une solution numérique simple & sécurisée à destination des professionnels permettant d'améliorer la collaboration interne et externe..,"Watcha® is a ""secure digital workplace"": a simple digital solution & secure for professionals to improve internal and external collaboration ..",watcha® `` secur digit workplac '' simpl digit solut secur profession improv intern extern collabor ..
captainconso,https://www.captainconso.fr/,BtoB / CleanTech / Efficience énergétique / Energies intelligentes / Gestion / Immobilier,Optimisez les charges énergétiques de vos bâtiments sans surcoût.,Optimize your energy costs without additional cost buildings.,optim energi cost without addit cost build
alpissime,https://alpissime.com,location courte durée / Tourisme,"Alpissime.com propose la location de vacances entre particuliers, services de conciergerie et activités en station de ski pour des vacances à la carte à la montagne. ","Alpissime.com offers rental of vacation between individuals, concierge services and activities in ski resort for holidays map in the mountains.",alpissime.com offer rental vacat individu concierg servic activ ski resort holiday map mountain
kuso,https://kuso.fr,communication,Kuso est une agence de communication digitale spécialisée dans l'immobilier. Recrutez un community manager à votre image et boostez votre activité !,Kuso is a digital communications agency specializing in real estate. Hire a community manager to your image and boost your business!,kuso digit commun agenc special real estat hire commun manag imag boost busi
skilder,https://skilder.fr/,digital / RH,Outil pour optimiser le recrutement,Tool to optimize recruitment,tool optim recruit
snowball-esports,https://snowball.gg,jeux vidéo,Snowball.gg est une plateforme qui accompagne les joueurs dans leur progression sur leurs jeux vidéo compétitifs préférés.,Snowball.gg is a platform that accompanies players as they progress on their favorite competitive games.,snowball.gg platform accompani player progress favorit competit game
lumeen,https://lumeen.com/,réalité augmentée / Réalité virtuelle,Lumeen simplifie et adapte la réalité virtuelle pour l'animation et la thérapie auprès des personnes âgées en perte d'autonomie et dépendantes.,Lumeen simplifies and adapts the virtual reality animation and therapy with seniors losing their autonomy and dependent.,lumeen simplifi adapt virtual realiti anim therapi senior lose autonomi depend
my-little-pressing,https://mylittlepressing.com/,Livraison à domicile / pressing,Votre pressing à domicile sur Lyon et ses alentours !,Your laundry home on Lyon and its surroundings!,laundri home lyon surround
bsoftfr,http://bsoft.fr/,application / Application mobile / Centre de formation / enseignement / formation en ligne,Bsoft.fr est le leader de l'émargement depuis 2010,Bsoft.fr is the leader of annotating since 2010,bsoft.fr leader annot sinc 2010
mobilax,https://www.mobilax.fr,B2B / E-commerce / smartphone / téléphonie,"Mobilax a pour ambition de devenir le grossiste numéro 1 de la pièce détachée de téléphone portable. Ayant à son actif déjà de nombreux clients à travers l'Europe, l'entreprise continue d'évoluer et gagne petit à petit en notoriété sur le net. ","Mobilax aims to become the number 1 wholesaler of spare parts mobile phone. Having to his credit already many customers throughout Europe, the company continues to evolve and gradually gaining notoriety on the net.",mobilax aim becom number 1 wholesal spare part mobil phone credit alreadi mani custom throughout europ compani continu evolv gradual gain notorieti net
ino-vr,http://www.ino-vr.com,Réalité virtuelle,Matériel et services de réalité virtuelle pour professionnels,virtual reality equipment and services for professionals,virtual realiti equip servic profession
virilite-plus,https://viriliteplus.xyz/,santé,Comparateur de compléments alimentaires Masculin,Compare supplements Male,compar supplement male
mobilax-academy,https://www.mobilax-academy.fr/,apprentissage / mobile / smartphone,Le Centre de Formation en Réparation de Téléphone Portable à Lyon,The Training Center in Mobile Phone Repair in Lyon,train center mobil phone repair lyon
ohmytools,https://ohmy.tools,,Une liste d'outils pour des entrepreneurs malins ! Afin de lancer + rapidement et efficacement de nouveaux produits et de mieux gérer un business.,A list of tools for smart entrepreneurs! To launch + quickly and effectively to new products and better manage a business.,list tool smart entrepreneur launch quickli effect new product better manag busi
