"LUMIO MEDICAL","['Santé, Biotech, Chimie', 'Plateforme', 'intelligence artificielle', 'sécurité', 'prise en charge', 'BtoB']","Plateforme d?intelligence artificielle pour sécuriser la prise en charge des patients"
"HEALTH FOR PEOPLE","['Santé, Biotech, Chimie', 'Health Tech', 'Solutions', 'numériques', 'éducation', 'santé', 'gestion', 'soins', 'BtoB']","Solutions numériques pour l'éducation à la santé et la gestion des parcours de soins"
"E-MAYDAY","['Santé, Biotech, Chimie', 'Diagnostique, Analyse', 'solution', 'globale', 'télémédecine', 'consultation', 'diagnostic', 'BtoB']","La solution globale de télémédecine"
"JOKEO","['Jeux, Jouets', 'Loterie', 'cagnotte', 'solidaire', 'BtoC']","Loterie 100% gratuite et solidaire"
"N'BIOO","['Santé, Biotech, Chimie', 'Services', 'Engrais', 'naturel', 'jardiner', 'urbain', 'BtoC']","Engrais naturel pour jardiner urbain"
"SO UGLY SO TASTY","['Restauration, Cuisine, Alimentation', 'Confitures', 'recyclage', 'écologie', 'fruits', 'BtoC']","Confitures fabriquées à partir de fruits sauvés"
"VILLEOS","['SSII & NTIC', 'Internet', 'e-commerce', 'commerce de proximité', 'Place de marché', 'Marketplace', 'Mairie', 'Artisans', 'BtoB']","Boutique en ligne dédiée aux villes et ouverte gratuitement à tous les commerçants et artisans de leur territoire"
"DOCPAL","['Santé, Biotech, Chimie', 'Services', 'rendez-vous', 'médecin', 'diagnostic', 'BtoC']","Prenez rendez-vous avec des médecins en ligne"
"NEXTMIND","['Electronique & Composants', 'Réalité Augmentée, Réalité Virtuelle', 'interfaces', 'cerveau', 'ordinateur', 'réalité virtuelle', 'IA', 'BtoB', 'BtoC']","Développe la prochaine génération d'interfaces cerveau-ordinateur"
"LOCKETO","['SSII & NTIC', 'Sécurité', 'securité', 'Achats', 'Ventes', 'BtoC', 'BtoB']","Le tiers de confiance et vérificateur d'identité qui vous assure et vous rassure"
